tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	description	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
PI47-9	PI47	0.0		Conglomerate	Breccia		Matrix	238.1	0.0	0	90.0	-21	This study	SO-CMD-NORTH	g	i
PI33-1	PI33	3.4	Igneous	Baked Contact	Basalt			160.2	-5.8	42	207.2	-62	This study	SO-CMD-NORTH	g	i
PI33-2	PI33	4.1	Igneous	Baked Contact	Basalt			164.2	-5.8	42	207.2	-45	This study	SO-CMD-NORTH	g	i
PI33-3	PI33	3.3	Igneous	Baked Contact	Basalt			148.2	-5.8	42	207.2	-57	This study	SO-CMD-NORTH	g	i
PI33-5	PI33	3.5	Igneous	Baked Contact	Basalt			127.2	-5.8	42	207.2	-64	This study	SO-CMD-NORTH	g	i
PI33-6	PI33	3.6	Igneous	Baked Contact	Basalt			117.2	-5.8	42	207.2	-36	This study	SO-CMD-NORTH	g	i
PI16H-25	PI16H	0.0	Metamorphic	Baked Contact	Schist			143.1	0.0	0	90.0	-10	This study	SO-CMD-NORTH	g	i
PI16H-26	PI16H	0.0	Metamorphic	Baked Contact	Schist			-58.9	0.0	0	90.0	-35	This study	SO-CMD-NORTH	g	i
PI16H-27	PI16H	0.0	Metamorphic	Baked Contact	Schist			-68.9	0.0	0	90.0	-12	This study	SO-CMD-NORTH	g	i
PI16H-28	PI16H	0.0	Metamorphic	Baked Contact	Schist			253.1	0.0	0	90.0	-48	This study	SO-CMD-NORTH	g	i
PI16H-29	PI16H	0.0	Metamorphic	Baked Contact	Schist			255.1	0.0	0	90.0	-18	This study	SO-CMD-NORTH	g	i
PI16H-30	PI16H	0.0	Metamorphic	Baked Contact	Schist			251.1	0.0	0	90.0	-22	This study	SO-CMD-NORTH	g	i
PI22H-16	PI22H	0.0	Metamorphic	Baked Contact	Schist			-55.7	0.0	0	90.0	-65	This study	SO-CMD-NORTH	g	i
PI22H-17	PI22H	0.0	Metamorphic	Baked Contact	Schist			-26.3	0.0	0	90.0	-99	This study	SO-CMD-NORTH	g	i
PI22H-18	PI22H	0.0	Metamorphic	Baked Contact	Schist			-22.0	0.0	0	90.0	-50	This study	SO-CMD-NORTH	g	i
PI22H-19	PI22H	0.0	Metamorphic	Baked Contact	Schist			-50.1	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
PI22H-20	PI22H	0.0	Metamorphic	Baked Contact	Schist			18.6	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
PI22H-21	PI22H	0.0	Metamorphic	Baked Contact	Schist			-52.5	0.0	0	90.0	-37	This study	SO-CMD-NORTH	g	i
PI22H-22	PI22H	0.0	Metamorphic	Baked Contact	Schist			264.4	0.0	0	90.0	-26	This study	SO-CMD-NORTH	g	i
PI22H-23	PI22H	0.0	Metamorphic	Baked Contact	Schist			232.4	0.0	0	90.0	-22	This study	SO-CMD-NORTH	g	i
PI22H-24	PI22H	0.0	Metamorphic	Baked Contact	Schist			100.8	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
PI22H-25	PI22H	0.0	Metamorphic	Baked Contact	Schist			234.8	0.0	0	90.0	-35	This study	SO-CMD-NORTH	g	i
PI22H-26	PI22H	0.0	Metamorphic	Baked Contact	Schist			-81.8	0.0	0	90.0	-25	This study	SO-CMD-NORTH	g	i
PI22H-27	PI22H	0.0	Metamorphic	Baked Contact	Schist			174.1	0.0	0	90.0	-39	This study	SO-CMD-NORTH	g	i
PI22H-28	PI22H	0.0	Metamorphic	Baked Contact	Schist			167.1	0.0	0	90.0	-64	This study	SO-CMD-NORTH	g	i
PI22H-29	PI22H	0.0	Metamorphic	Baked Contact	Schist			163.1	0.0	0	90.0	-56	This study	SO-CMD-NORTH	g	i
PI22H-30	PI22H	0.0	Metamorphic	Baked Contact	Schist			-16.2	0.0	0	90.0	-43	This study	SO-CMD-NORTH	g	i
PI22H-31	PI22H	0.0	Metamorphic	Baked Contact	Schist			-6.9	0.0	0	90.0	-38	This study	SO-CMD-NORTH	g	i
PI22H-32	PI22H	0.0	Metamorphic	Baked Contact	Schist			-25.9	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
PI24m-9	PI24m	0.0		Conglomerate	Breccia		Matrix	227.0	-6.0	0	84.0	-120	This study	SO-CMD-NORTH	g	i
PI24m-10	PI24m	0.0		Conglomerate	Breccia		Matrix	-66.0	-6.0	0	84.0	-90	This study	SO-CMD-NORTH	g	i
PI24m-11	PI24m	0.0		Conglomerate	Breccia		Matrix	-75.0	-6.0	0	84.0	-72	This study	SO-CMD-NORTH	g	i
PI24m-12	PI24m	0.0		Conglomerate	Breccia		Matrix	-59.0	-6.0	0	84.0	-82	This study	SO-CMD-NORTH	g	i
PI24m-13	PI24m	0.0		Conglomerate	Breccia		Matrix	230.0	-6.0	0	84.0	-88	This study	SO-CMD-NORTH	g	i
PI24m-14	PI24m	0.0		Conglomerate	Breccia		Matrix	260.0	-6.0	0	84.0	-78	This study	SO-CMD-NORTH	g	i
PI46-1	PI46	0.0		Conglomerate	Breccia		Matrix	210.1	-5.9	0	84.1	-58	This study	SO-CMD-NORTH	g	i
