tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	unknown	PI44-3	PI44	SO-CMD-NORTH	134.1	0.0	84.1		-5.9	-34.0	0		
This study	unknown	PI44-4	PI44	SO-CMD-NORTH	119.1	0.0	84.1		-5.9	-36.0	0		
This study	unknown	PI44-5	PI44	SO-CMD-NORTH	122.1	0.0	84.1		-5.9	-35.0	0		
This study	unknown	PI44-6	PI44	SO-CMD-NORTH	248.1	0.0	84.1		-5.9	-71.0	0		
This study	unknown	PI44-7	PI44	SO-CMD-NORTH	247.1	0.0	84.1		-5.9	-73.0	0		
This study	unknown	PI44-8	PI44	SO-CMD-NORTH	248.1	0.0	84.1		-5.9	-71.0	0		
This study	unknown	PI44-9	PI44	SO-CMD-NORTH	-6.9	0.0	84.1		-5.9	-28.0	0		
This study	unknown	PI44-10	PI44	SO-CMD-NORTH	47.1	0.0	84.1		-5.9	-20.0	0		
This study	unknown	PI44-12	PI44	SO-CMD-NORTH	24.1	0.0	84.1		-5.9	-59.0	0		
This study	unknown	PI44-13	PI44	SO-CMD-NORTH	17.1	0.0	84.1		-5.9	-66.0	0		
This study	unknown	PI46-1	PI46	SO-CMD-NORTH	210.1	0.0	84.1		-5.9	-58.0	0		
This study	unknown	PI46-2	PI46	SO-CMD-NORTH	-83.9	0.0	84.1		-5.9	-25.0	0		
This study	unknown	PI46-3	PI46	SO-CMD-NORTH	-84.9	0.0	84.1		-5.9	-40.0	0		
This study	unknown	PI46-4	PI46	SO-CMD-NORTH	-52.9	0.0	84.1		-5.9	-6.0	0		
This study	unknown	PI46-5	PI46	SO-CMD-NORTH	228.1	0.0	84.1		-5.9	-20.0	0		
This study	unknown	PI46-6	PI46	SO-CMD-NORTH	183.1	0.0	84.1		-5.9	-56.0	0		
This study	unknown	PI46-7	PI46	SO-CMD-NORTH	212.1	0.0	84.1		-5.9	-41.0	0		
This study	unknown	PI46-8	PI46	SO-CMD-NORTH	223.1	0.0	84.1		-5.9	-34.0	0		
This study	unknown	PI46-9	PI46	SO-CMD-NORTH	176.1	0.0	84.1		-5.9	-74.0	0		
This study	unknown	PI46-10	PI46	SO-CMD-NORTH	177.1	0.0	84.1		-5.9	-67.0	0		
This study	unknown	PI46-11	PI46	SO-CMD-NORTH	174.1	0.0	84.1		-5.9	-66.0	0		
This study	unknown	PI47-1	PI47	SO-CMD-NORTH	233.1	0.0	90.0		0.0	-16.0	0		
This study	unknown	PI47-2	PI47	SO-CMD-NORTH	251.1	0.0	90.0		0.0	-27.0	0		
This study	unknown	PI47-3	PI47	SO-CMD-NORTH	224.1	0.0	90.0		0.0	-13.0	0		
This study	unknown	PI47-4	PI47	SO-CMD-NORTH	113.1	0.0	90.0		0.0	-10.0	0		
This study	unknown	PI47-5	PI47	SO-CMD-NORTH	48.1	0.0	90.0		0.0	-16.0	0		
This study	unknown	PI47-6	PI47	SO-CMD-NORTH	60.1	0.0	90.0		0.0	-21.0	0		
This study	unknown	PI47-7	PI47	SO-CMD-NORTH	188.1	0.0	90.0		0.0	-47.0	0		
This study	unknown	PI47-8	PI47	SO-CMD-NORTH	198.1	0.0	90.0		0.0	-14.0	0		
This study	unknown	PI47-9	PI47	SO-CMD-NORTH	238.1	0.0	90.0		0.0	-21.0	0		
